	Width	Height	Fps	Default_bitrate	Address_fw_1.2.0
0	2560	1440	29,97	4190	C05C0FA6
1	2560	1440	29,97	4170	C05C0FB6
2	2560	1440	29,97	4140	C05C0FC6
3	2560	1080	29,97	4190	C05C0FD6
4	2560	1080	29,97	4170	C05C0FE6
5	2560	1080	29,97	4140	C05C0FF6
6	2304	1296	29,97	4190	C05C1006
7	2304	1296	29,97	4170	C05C1016
8	2304	1296	29,97	4140	C05C1026
9	1920	1080	59,94	41C8	C05C1036
10	1920	1080	59,94	4170	C05C1046
11	1920	1080	59,94	4140	C05C1056
12	1920	1080	45,00	4140	C05C1066
13	1920	1080	45,00	4120	C05C1076
14	1920	1080	45,00	4100	C05C1086
15	1920	1080	40,00	4140	C05C1096
16	1920	1080	40,00	4120	C05C10A6
17	1920	1080	40,00	4100	C05C10B6
18	1920	1080	29,97	4140	C05C10C6
19	1920	1080	29,97	4120	C05C10D6
20	1920	1080	29,97	4100	C05C10E6
21	1920	1080	29,97	4140	C05C10F6
22	1920	1080	29,97	4120	C05C1106
23	1920	1080	29,97	4100	C05C1116
24	1920	1080	29,97	4170	C05C1126
25	1920	1080	29,97	4140	C05C1136
26	1920	1080	29,97	4120	C05C1146
27	1440	1080	72,82	4170	C05C1156
28	1440	1080	72,82	4140	C05C1166
29	1440	1080	72,82	4120	C05C1176
30	1440	1080	29,97	4140	C05C1186
31	1440	1080	29,97	4120	C05C1196
32	1440	1080	29,97	4100	C05C11A6
33	1440	1080	29,97	4170	C05C11B6
34	1440	1080	29,97	4140	C05C11C6
35	1440	1080	29,97	4120	C05C11D6
36	1600	1200	59,94	4170	C05C11E6
37	1600	1200	59,94	4140	C05C11F6
38	1600	1200	59,94	4120	C05C1206
39	1600	1200	29,97	4140	C05C1216
40	1600	1200	29,97	4120	C05C1226
41	1600	1200	29,97	4100	C05C1236
42	1600	900	29,97	4140	C05C1246
43	1600	900	29,97	4120	C05C1256
44	1600	900	29,97	4100	C05C1266
45	1280	720	59,94	4140	C05C1276
46	1280	720	59,94	4110	C05C1286
47	1280	720	59,94	40C0	C05C1296
48	1280	720	29,97	4100	C05C12A6
49	1280	720	29,97	40C0	C05C12B6
50	1280	720	29,97	4080	C05C12C6
51	1280	720	29,97	4100	C05C12D6
52	1280	720	29,97	40C0	C05C12E6
53	1280	720	29,97	4080	C05C12F6
54	848	480	59,94	4100	C05C1306
55	848	480	59,94	40C0	C05C1316
56	848	480	59,94	4080	C05C1326
57	848	480	29,97	40A0	C05C1336
58	848	480	29,97	4080	C05C1346
59	848	480	29,97	4040	C05C1356
60	720	480	59,94	4100	C05C1366
61	720	480	59,94	40C0	C05C1376
62	720	480	59,94	4080	C05C1386
63	720	480	29,97	4080	C05C1396
64	720	480	29,97	4040	C05C13A6
65	720	480	29,97	4000	C05C13B6
66	1280	960	59,94	4170	C05C13C6
67	1280	960	59,94	4140	C05C13D6
68	1280	960	59,94	4120	C05C13E6
69	1280	960	29,97	4148	C05C13F6
70	1280	960	29,97	4118	C05C1406
71	1280	960	29,97	40D0	C05C1416
72	960	540	29,97	4148	C05C1426
73	960	540	29,97	4118	C05C1436
74	960	540	29,97	40D0	C05C1446
75	720	400	29,97	3F19	C05C1456
76	720	400	29,97	3F00	C05C1466
77	720	400	29,97	3ECC	C05C1476
78	640	360	29,97	3F19	C05C1486
79	640	360	29,97	3F00	C05C1496
80	640	360	29,97	3ECC	C05C14A6
81	640	480	59,94	4100	C05C14B6
82	640	480	59,94	40C0	C05C14C6
83	640	480	59,94	4080	C05C14D6
84	640	480	29,97	3F33	C05C14E6
85	640	480	29,97	3F19	C05C14F6
86	640	480	29,97	3F00	C05C1506
87	432	240	29,97	3F33	C05C1516
88	432	240	29,97	3F19	C05C1526
89	432	240	29,97	3F00	C05C1536
90	320	240	29,97	3F33	C05C1546
91	320	240	29,97	3F19	C05C1556
92	320	240	29,97	3F00	C05C1566
93	352	240	29,97	3F33	C05C1576
94	352	240	29,97	3F19	C05C1586
95	352	240	29,97	3F00	C05C1596
96	1920	1080	48,00	4170	C05C15A6
97	1920	1080	48,00	4140	C05C15B6
98	1920	1080	48,00	4120	C05C15C6
99	1920	1080	24,00	4120	C05C15D6
100	1920	1080	24,00	4100	C05C15E6
101	1920	1080	24,00	40C0	C05C15F6
102	1920	1080	15,00	4140	C05C1606
103	1920	1080	15,00	4120	C05C1616
104	1920	1080	15,00	4100	C05C1626
105	1600	1200	48,00	4170	C05C1636
106	1600	1200	48,00	4140	C05C1646
107	1600	1200	48,00	4120	C05C1656
108	1600	1200	24,00	4120	C05C1666
109	1600	1200	24,00	4100	C05C1676
110	1600	1200	24,00	40C0	C05C1686
111	1280	960	48,00	4170	C05C1696
112	1280	960	48,00	4140	C05C16A6
113	1280	960	48,00	4120	C05C16B6
114	1280	960	24,00	4148	C05C16C6
115	1280	960	24,00	4118	C05C16D6
116	1280	960	24,00	40D0	C05C16E6
117	1280	720	48,00	4170	C05C16F6
118	1280	720	48,00	4140	C05C1706
119	1280	720	48,00	4120	C05C1716
120	1280	720	24,59	4120	C05C1726
121	1280	720	24,59	4100	C05C1736
122	1280	720	24,59	40C0	C05C1746
123	848	480	48,00	4140	C05C1756
124	848	480	48,00	4120	C05C1766
125	848	480	48,00	4100	C05C1776
126	848	480	24,00	4120	C05C1786
